Feature_ID	Female_108 - Total gene reads	Male_108 - Total gene reads
TR590|c0_g1_i1	5	66
TR590|c0_g2_i1	22	25
TR591|c0_g1_i1	1	5
TR592|c0_g1_i1	39	58
TR592|c0_g2_i1	363	698
TR593|c0_g1_i1	14	8
TR594|c0_g1_i1	10	5
TR595|c0_g1_i1	9	6
TR596|c0_g1_i1	14	6
TR596|c0_g2_i1	5	9
TR597|c0_g1_i1	0	0
TR597|c0_g2_i1	9	7
TR598|c0_g1_i1	8	4
TR599|c0_g1_i1	7	7
TR599|c0_g1_i2	0	0
TR600|c0_g1_i1	7	27
TR601|c0_g1_i1	12	0
TR601|c0_g2_i1	8	14
TR602|c0_g1_i1	0	7
TR602|c0_g2_i1	8	0
TR603|c0_g1_i1	5	8
TR604|c0_g1_i1	5	23
TR605|c0_g1_i1	12	5
TR606|c0_g1_i1	17	6
TR607|c0_g1_i1	6	19
TR608|c0_g1_i1	12	6
TR608|c0_g2_i1	0	0
TR609|c0_g1_i1	5	6
